,100,200,300,400,500,600,700,800,900,1000,1100,1200,1279,1300,1400,1492,1500,1530,1600,1650,1700,1715,1783,1800,1815,1880,1900,1914,1920,1930,1938,1945,1960,1994,2000,2010
Mill Creek Culture,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miller,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milograd culture,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miluk Coos,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Minang,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Ming Chinese Empire,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,
Ming Empire,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mingin,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Mirambo Unyanyembe Ukimbu,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Miranha,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mirning,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Misak,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Miskito,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mississauga,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mississaugas of the Credit First Nation,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Missouri,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Mithaka,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Miwa,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Miwkoʔ Waaliʔ,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Miwok,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Mixtec Empire,,,,,,,,,,,,,X,X,X,,X,,,,,,,,,,,,,,,,,,,
Mixtecs,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miyan,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Mnicoujou,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Moche,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mochó,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Modena,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,
Modoc,,,,,,,,,,,,,,,,X,,X,X,X,X,X,,,,,,,,,,,,,,
Modoc (Oklahoma),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mogollon,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohawk (Kalapuya),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mohegan,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mohican,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mojeño,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mokaná,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Molalla,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,X,X
Mon States,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon state,,,,,,,,X,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Monacan,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Moneton,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mongol Empire,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X
Mongols,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Monqui,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Montagnais Innu,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Montana,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Monte Alb?n,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monte Albàn,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monte Albán,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,X,,,,X,X,X,,,,,,X,X,X
Montserrat,,,,,,,,,,,,,,,,,,,,,,X,,,X,X,X,X,X,X,X,X,,X,X,X
Moose Cree,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mopan,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Moqoit,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Moratok,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Moraughtacund,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Moravians,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mordvinians,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moregena,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,X,X,,,,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X
Morocco (France),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Moses/Columbia,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mosetén,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mosquito Coast,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Mossi States,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,
Mount Tabor Indian Community,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mountain Maidu,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mountain Métis,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Movima,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,X,,,X,X,X,X
Mozambique (Portugal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,
Mpalitjanh,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Muckleshoot,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mudburra,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Mughal Empire,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Muina Murui / Murui-Muinanɨ,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Muisca,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Multan,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,
Multnomah,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mundurukânia (Wuy jugu),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Muniche,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Munsee Lenape,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Murrinh-patha,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Muruwari,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Muscat,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,
Muscat and Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,
Muscogee (Oklahoma),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Musgamagw Dzawada'enuxw,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Muskogee,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Muteamasa (Karapanã),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mutumui,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Muwekma,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mvskoke (Muscogee / Creek),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mwenemutapa,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,
Myaamia,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mysore,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,
Mysore (Indian princely state),,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Mánekenk/Haush,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
NWT Métis Nation,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Na-cho Nyak Dun,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nabatean Kingdom,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nacotchtank (Anacostan),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nadleh Whut'en,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nadöb,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nahua,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
"Nahua ( Morelos, Puebla, Tlaxcala, Veracruz, Hidalgo, San Luis Potosi)",,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nahua (Guerrero),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nahua (Mexico),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nahua (Michoacan),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nahuas,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nakako,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Nakara,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Nambikwara,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X
Nan Chao,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Nan-Zhao,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nana,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Nandtaughtacund,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Naniaho,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Nanrantsouak,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nansemond,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nanti,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nanzan,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Naples,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Narangga,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Nari Nari,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Narragansett,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nasa,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Naskapi Innu,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Nassau,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Natabuela,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Natal,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Natchez,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,
Natchitoches,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nauset,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Navaho,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Navajo,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Navarre,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,
Nawa,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nawu,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Nayarit,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Nazca,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndebele,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Ndee/Nnēē: (Western Apache),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ndongo,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,
Ndé Kónitsąąíí Gokíyaa (Lipan Apache),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nehalem,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nejd,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,
Nenets,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Nentego (Nanticoke),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,X,,,,X,,,,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Nespelem,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nestucca,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,X,X,,,X,X,X,X,X,X,X,X,X,X,X
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X
Netherlands Indies,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,
Neusiok,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Neustria,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Amsterdam,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
New France,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,
New Hebrides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
New River Shasta,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
New South Wales,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
New South Wales (UK),,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
New Zealand,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X
Newe (Western Shoshone),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nez Perce,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,
Ngaanyatjarra,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Ngadjuri,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Ngalakan,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Ngalawangka,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Ngalea,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Ngaliwuru,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Ngalkbun,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Ngambri,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Ngamini,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Nganasan,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Ngandi,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Ngandji,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Nganyaywana,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Ngan’gikurunggurr,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Ngan’giwumirri,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Ngarabal,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Ngargad,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Ngarigo,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Ngarinman,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Ngarinyin,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Ngarla,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Ngarluma,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Ngarrindjeri,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Ngarti,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Ngatatjara,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Ngatjumay,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Ngawun,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Ngi-iva (Popoloca),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ngombur,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Nguburinji,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Ngumbarl,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Ngunawal,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Nguni,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Nguri,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Ngurraiillam,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Ngwato,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Nhanta,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Nhuwala,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
Nicarao/Nahoa,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X
Niitsítpiis-stahkoii ᖹᐟᒧᐧᐨᑯᐧ ᓴᐦᖾᐟ (Blackfoot / Niitsítapi ᖹᐟᒧᐧᒣᑯ),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nimanburu,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Nimiipuu (Nez Perce),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ninticoy,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Nipmuc,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nisenan,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nisg̱a'a,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nisqually,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nitaskinan (Atikamekw / Nehirowisi Aski),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nitassinan (Innu),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
Nivaclé,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nizam's Dominions,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Niúachi,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nkore,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
No'iria,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nobatia,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nogai Horde,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Nom Sus Wintu,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nom Ti Pom Wintu,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nomatsigenga,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nomlaki,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nongatl,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nonuya,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nor Rel Muk Wintu,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
"North American Pacifi foraging, hunting and fishing peoples",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,,,,,,,,,,,,,,,,,
Northeastern Pomo,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Northern Liang,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Paiute,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Northern Pomo,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Northern Rhodesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,
Northern Territory (UK),,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Northern Yuki,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Northmen,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X
Nothumbria,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novgorod,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,
Novgorod-Seversky,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Nukini,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nukunu,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Numu (Northern Paiute),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nunatsiavut,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
NunatuKavut,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nunavik,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nungali,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Nunggubuyu,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Nuwhaha,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nuwuvi (Southern Paiute),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nuxalk,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nuxwsa'7aq (Nooksack),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nyaki-nyaki,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Nyamal,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Nyanganyatjara,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Nyangumarda,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Nyasaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Nyawaygi,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Nyikina,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Nyul Nyul,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Nyvukagmit (Naukan),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Náayerite (Cora),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Núu-agha-tʉvʉ-pʉ̱ (Ute),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nükak Makü,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nüwüwü (Chemehuevi),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nłeʔkepmx Tmíxʷ (Nlaka'pamux),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Nʉmʉnʉʉ (Comanche),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
O'odham Jeweḍ,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
O-ga-xpa Ma-zhoⁿ (O-ga-xpa),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Obispeño,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Obiwa,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,
Occaneechi,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Occohannock,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ocloya,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Odawa,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Odǫhwęja:deˀ (Cayuga),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ofaié,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Oghuz,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Oghuz Turks,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oglala,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ohlone,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Oirat Confederation,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,
